"pid","object_pid","file_type","file_description","original_format","research_date","researchers","equipment_used","file_location","file_notes","collection","thumbnail","fullwidth","order","original_file_name"
560,3260,"Normal Light Images›Details","Harbor with Preaching of Christ (London) - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/560/thumbnail.jpg","img/derivatives/simple/560/fullwidth.jpg",,"Harbor_with_Preaching_of_Christ_(London)_detail_2.jpg"
561,3260,"Normal Light Images›Details","Harbor with Preaching of Christ (London) - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/561/thumbnail.jpg","img/derivatives/simple/561/fullwidth.jpg",,"Harbor_with_Preaching_of_Christ_(London)_detail_3.jpg"
562,3260,"Normal Light Images›Details","Harbor with Preaching of Christ (London) - Detail 4",,,,,,,"curatorial_files","img/derivatives/simple/562/thumbnail.jpg","img/derivatives/simple/562/fullwidth.jpg",,"Harbor_with_Preaching_of_Christ_(London)_detail_4.jpg"
563,3263,"Normal Light Images›Framed","Hell Scene, framed",,,,,,,"curatorial_files","img/derivatives/simple/563/thumbnail.jpg","img/derivatives/simple/563/fullwidth.jpg",,"Hell_Scene_framed.png"
564,3266,"Normal Light Images›Related Materials","Hermit with Vegetable Garden and Distant Landscape - Extra 1",,,,,,,"curatorial_files","img/derivatives/simple/564/thumbnail.jpg","img/derivatives/simple/564/fullwidth.jpg",,"Hermit_with_Vegetable_Garden_and_Distant_Landscape_Extra_1.jpg"
565,3266,"Normal Light Images›Related Materials","Hermit with Vegetable Garden and Distant Landscape - Extra 2",,,,,,,"curatorial_files","img/derivatives/simple/565/thumbnail.jpg","img/derivatives/simple/565/fullwidth.jpg",,"Hermit_with_Vegetable_Garden_and_Distant_Landscape_Extra_2.jpg"
566,3277,"Normal Light Images›Details","Holy Family in a Landscape (Munich) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/566/thumbnail.jpg","img/derivatives/simple/566/fullwidth.jpg",,"Holy_Family_in_a_Landscape_(Munich)_detail_1.jpg"
567,3277,"Normal Light Images›Details","Holy Family in a Landscape (Munich) - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/567/thumbnail.jpg","img/derivatives/simple/567/fullwidth.jpg",,"Holy_Family_in_a_Landscape_(Munich)_detail_2.jpg"
568,3291,"Normal Light Images›Extra Images","Interior of a Gothic Church (Milan) - Extra 1",,,,,,,"curatorial_files","img/derivatives/simple/568/thumbnail.jpg","img/derivatives/simple/568/fullwidth.jpg",,"Interior_of_a_Gothic_Church_(Milan)_Extra_1.jpg"
569,3830,"Normal Light Images›Extra Images","Interior of a Gothic Church Looking East (London, 1443) - Extra 1",,,,,,,"curatorial_files","img/derivatives/simple/569/thumbnail.jpg","img/derivatives/simple/569/fullwidth.jpg",,"Interior_of_a_Gothic_Church_Looking_East_(London,_1443)_Extra_1.jpg"
