pid,exclude,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
18281,"Flower Garland and Stone Cartouche Around Adoration of the Magi Scene (Madrid, private)",,,"Flower Garland and Stone Cartouche Around Adoration of the Magi Scene (Madrid, private)",Painting,Garland,Putti Christ Holy_family New_Testament Virgin_Mary Flowers Garland,,75,94.5,,,Canvas,,,,,,,,,,,,,,,,,,,,Private,,,,"Madrid, cat. 2004",,,,,,,,,1319,brueghel_item,brueghel,img/derivatives/simple/18281/thumbnail.jpg,img/derivatives/simple/18281/full.jpg
18282,"The Holy Family with Cherubs in a Landscape Set in a Wreath of Fruit and Vegetables (Amsterdam, Sotheby's)",,,"The Holy Family with Cherubs in a Landscape Set in a Wreath of Fruit and Vegetables (Amsterdam, Sotheby&apos;s)",Painting,Garland,Putti Christ Holy_family Virgin_Mary Flowers Food Fruit Garland,,106.5,71,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1320,brueghel_item,brueghel,img/derivatives/simple/18282/thumbnail.jpg,img/derivatives/simple/18282/full.jpg
18283,"Flower Garland Around Madonna and Child Adored by Angels (London, Christie's, 2002)",,,"Flower Garland Around Madonna and Child Adored by Angels (London, Christie&apos;s, 2002)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,71.4,65.7,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1321,brueghel_item,brueghel,img/derivatives/simple/18283/thumbnail.jpg,img/derivatives/simple/18283/full.jpg
18284,"Flower Garland Around a Medallion with the Coronation of the Madonna (London, Sotheby's, 2005)",,,"Flower Garland Around a Medallion with the Coronation of the Madonna (London, Sotheby&apos;s, 2005)",Painting,Garland,Christ Holy_family New_Testament Virgin_Mary Flowers Garland,,67.3,53.8,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1322,brueghel_item,brueghel,img/derivatives/simple/18284/thumbnail.jpg,img/derivatives/simple/18284/full.jpg
18285,"Garland around an Medallion of Madonna and Child and Saint John the Baptist, with the Apostles in Four Corners (New York, Christie's)",,,"Garland around an Medallion of Madonna and Child and Saint John the Baptist, with the Apostles in Four Corners (New York, Christie&apos;s)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,63.5,47.3,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1323,brueghel_item,brueghel,img/derivatives/simple/18285/thumbnail.jpg,img/derivatives/simple/18285/full.jpg
18286,"Flower Garland with Putti Around Madonna and Child Illuminated by Holy Spirit and Served by Angels (Vienna, Dorotheum, 1973)",,,"Flower Garland with Putti Around Madonna and Child Illuminated by Holy Spirit and Served by Angels (Vienna, Dorotheum, 1973)",Painting,Garland,Putti Christ Holy_family Virgin_Mary Flowers Garland,,36.5,29.5,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1324,brueghel_item,brueghel,img/derivatives/simple/18286/thumbnail.jpg,img/derivatives/simple/18286/full.jpg
18287,"Holy Family with John the Baptist (Leningrad, Hermitage)",,,"Holy Family with John the Baptist (Leningrad, Hermitage)",Painting,Garland,Christ Holy_family John_the_Baptist Virgin_Mary Flowers Garland,,82,70,,,Panel,,,,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Public,Russia,St. Petersburg,The Hermitage,"cat. 1958, nr. 2997",,,,,,,,,1325,brueghel_item,brueghel,img/derivatives/simple/18287/thumbnail.jpg,img/derivatives/simple/18287/full.jpg
18288,Cartouche and Garland Around Madonna and Child (Duffel),,,Cartouche and Garland Around Madonna and Child (Duffel),Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Duffel, Belgium",,,,,,,,,1326,brueghel_item,brueghel,img/derivatives/simple/18288/thumbnail.jpg,img/derivatives/simple/18288/full.jpg
18289,"Flower Garland Around Medallion of Madonna and Child with John the Baptist (Sotheby's, London, 2004)",,,"Flower Garland Around Medallion of Madonna and Child with John the Baptist (Sotheby&apos;s, London, 2004)",Painting,Garland,Birds Putti Christ Holy_family Virgin_Mary Flowers Garland,,73.9,54,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1327,brueghel_item,brueghel,img/derivatives/simple/18289/thumbnail.jpg,img/derivatives/simple/18289/full.jpg
18290,"The Holy Family with John the Baptist in a Landscape Surrounded by Fruit and Flower Garlands (London, Sotheby's, 2004)",,,"The Holy Family with John the Baptist in a Landscape Surrounded by Fruit and Flower Garlands (London, Sotheby&apos;s, 2004)",Painting,Garland,Birds Sheep Putti Christ Holy_family Virgin_Mary Flowers Food Fruit Garland,,73.9,54,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1328,brueghel_item,brueghel,img/derivatives/simple/18290/thumbnail.jpg,img/derivatives/simple/18290/full.jpg
18291,"A Garland of Flowers, Fruit and Vegetables with the Holy Family in a River Landscape Beyond (Amsterdam. Douwes)",,,"A Garland of Flowers, Fruit and Vegetables with the Holy Family in a River Landscape Beyond (Amsterdam. Douwes)",Painting,Garland,Birds Sheep Putti Christ Holy_family Virgin_Mary Flowers Food Fruit Garland,,104,73,,,Canvas,,,,,,Hendrick van Balen (1575-1632),,,,,,,,,,,,,,Private,,,,"Amsterdam, Douwes Fine Art, cat. 1983",,,,,,,,,1329,brueghel_item,brueghel,img/derivatives/simple/18291/thumbnail.jpg,img/derivatives/simple/18291/full.jpg
18292,"Cartouche and Garland Around Madonna and Child with John the Baptist (Maastricht, 1975)",,,"Cartouche and Garland Around Madonna and Child with John the Baptist (Maastricht, 1975)",Painting,Garland,Christ Holy_family John_the_Baptist New_Testament Virgin_Mary Flowers Garland,,77,53.5,,,Panel,,,r.o.,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Private,,,,"Maastricht, cat. Nov/Dec. 1975",,,,,,,,,1330,brueghel_item,brueghel,img/derivatives/simple/18292/thumbnail.jpg,img/derivatives/simple/18292/full.jpg
18293,"Cartouche and Garland Around Madonna and Child (London, Sotheby's, 1983)",,,"Cartouche and Garland Around Madonna and Child (London, Sotheby&apos;s, 1983)",Painting,Garland,Putti Christ Holy_family Virgin_Mary Flowers Garland,,87.5,74,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1331,brueghel_item,brueghel,img/derivatives/simple/18293/thumbnail.jpg,img/derivatives/simple/18293/full.jpg
18294,Kermis (Vienna),,,Kermis (Vienna),Painting,"Urban, Common and Peasant Life",,,114,164,,,Panel,,"""BRVEGEL""",,,,,,,,,,,,,P  Brueghel,,,,,Public,Austria,Vienna,Kunsthistorisches Museum,no. 719,,"Gluck, 39. Tolnay, 33.",,,,,,,1332,brueghel_item,brueghel,img/derivatives/simple/18294/thumbnail.jpg,img/derivatives/simple/18294/full.jpg
18295,"Kermis (Brussels, Leger & Son, 1932)",,,"Kermis (Brussels, Leger & Son, 1932)",Painting,"Urban, Common and Peasant Life",,,,,,,Panel,,,,,,,Also attributed to A. Grimmer,,,,,,,,naar Pieter Bruegel I,,,,,Private,,,,Private Collection,,,,,,,,,1333,brueghel_item,brueghel,img/derivatives/simple/18295/thumbnail.jpg,img/derivatives/simple/18295/full.jpg
18296,"Peasant's Dance by (New York, Anderson Gallery, 1928)",,,"Peasant&apos;s Dance by (New York, Anderson Gallery, 1928)",Painting,"Urban, Common and Peasant Life",,,58.5,86.5,,,,,,,,,,,,,,,,,,naar Pieter Bruegel I,,,,,Private,,,,Private Collection,,"Ertz 1979, S. 532, Anm. 395 (as Jan II)",,,,,,"{% cite 9004 %}  S. 532, Anm. 395 (as Jan II)",1334,brueghel_item,brueghel,img/derivatives/simple/18296/thumbnail.jpg,img/derivatives/simple/18296/full.jpg
18297,Peasant Festival,,,Peasant Festival,Painting,"Urban, Common and Peasant Life",,,114,165,,,Panel,,,,,,,,,,,,,,,naar Pieter Bruegel I,,,,,Private,,,,Private Collection,,,,,,,,,1335,brueghel_item,brueghel,img/derivatives/simple/18297/thumbnail.jpg,img/derivatives/simple/18297/full.jpg
18298,(Kermis),,,(Kermis),Painting,"Urban, Common and Peasant Life",,,74.5,98,,,Panel,,,,,,,,,,,,,,,Vrij naar Pieter Bruegel I,,,,,Private,,,,Private Collection,,,,,,,,,1336,brueghel_item,brueghel,img/derivatives/simple/18298/thumbnail.jpg,img/derivatives/simple/18298/full.jpg
18299,"Kermis Scene (Brussels, 1955)",,,"Kermis Scene (Brussels, 1955)",Painting,"Urban, Common and Peasant Life",,,74,98,,,Panel,,,,,,,,,,,,,,,Vrij naar Pieter Bruegel I,,,,,Private,,,,Private Collection,,,,,,,,,1337,brueghel_item,brueghel,img/derivatives/simple/18299/thumbnail.jpg,img/derivatives/simple/18299/full.jpg
18300,"The Maypole (Berlin, Lange, 1939)",,,"The Maypole (Berlin, Lange, 1939)",Painting,"Urban, Common and Peasant Life",,,35,52,,,Panel,,,,,,,,,,,,,,,Pieter Bruegheld.J.,,,,,Private,,,,Private Collection,,,,,,,,,1338,brueghel_item,brueghel,img/derivatives/simple/18300/thumbnail.jpg,img/derivatives/simple/18300/full.jpg
18301,The Kermis at Hoboken (Chartres),,,The Kermis at Hoboken (Chartres),Painting,"Urban, Common and Peasant Life",,,,,,,Panel,,,,,,,,,,,,,,,School van Pieter Bruegel I.,,,,,Public,France,Chartres,Musée des Beaux-Arts de Chartres,"inv. no. 1176;  cat. 1931, no. 22.",,,,,,,,,1339,brueghel_item,brueghel,img/derivatives/simple/18301/thumbnail.jpg,img/derivatives/simple/18301/full.jpg
18302,Kermis scene (Prague),,,Kermis scene (Prague),Painting,"Urban, Common and Peasant Life",,,86,125,,,Panel,,,,,,,,,,,,,,,Naar Pieter Bruegel I,,,,,Private,,,,"Prague, Private Collection",,,,,,,,,1340,brueghel_item,brueghel,img/derivatives/simple/18302/thumbnail.jpg,img/derivatives/simple/18302/full.jpg
18303,"Kermis scene (Brussels, 1930)",,,"Kermis scene (Brussels, 1930)",Painting,"Urban, Common and Peasant Life",,,49,67,,,,,,,,,,,,,,,,,,P. Brueghel,,,,,Private,,,,Private Collection,,,,,,,,,1341,brueghel_item,brueghel,img/derivatives/simple/18303/thumbnail.jpg,img/derivatives/simple/18303/full.jpg
18304,"Kermis scene (Brunn, 1929)",,,"Kermis scene (Brunn, 1929)",Painting,"Urban, Common and Peasant Life",,,41.2,66.6,,,,,,,,,,,,,,,,,,P. Brueghel d.J.,,,,,Private,,,,Private Collection,,,,,,,,,1342,brueghel_item,brueghel,img/derivatives/simple/18304/thumbnail.jpg,img/derivatives/simple/18304/full.jpg
18305,Kermis te Hoboken (unknown),,,Kermis te Hoboken (unknown),Print,"Urban, Common and Peasant Life",,,,,,,,,,,,,,,,,,,,,,P. Breughel,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1343,brueghel_item,brueghel,img/derivatives/simple/18305/thumbnail.jpg,img/derivatives/simple/18305/full.jpg
18306,Kermis (unknown),,,Kermis (unknown),Painting,"Urban, Common and Peasant Life",,,,,,,,,,,,,,,,,,,,,,Naar P. Brueghel,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1344,brueghel_item,brueghel,img/derivatives/simple/18306/thumbnail.jpg,img/derivatives/simple/18306/full.jpg
18307,"The Peasant Dance (Brussels, 1957)",,,"The Peasant Dance (Brussels, 1957)",Painting,"Urban, Common and Peasant Life",,,73,105,,,,,,,,,,,,,,,,,,Ecole de Pierre Brueghel,,,,,Private,,,,Private Collection,,,,,,,,,1345,brueghel_item,brueghel,img/derivatives/simple/18307/thumbnail.jpg,img/derivatives/simple/18307/full.jpg
18308,"De Kermis van Hoboken (Dordrecht, 1956)",,,"De Kermis van Hoboken (Dordrecht, 1956)",Painting,"Urban, Common and Peasant Life",,,49,60,,,,,,,,,,,,,,,,,,Pieter Brueghel II,,,,,Private,,,,Private Collection,,,,,,,,,1346,brueghel_item,brueghel,img/derivatives/simple/18308/thumbnail.jpg,img/derivatives/simple/18308/full.jpg
18309,Kermis (Haarlem),,,Kermis (Haarlem),Painting,"Urban, Common and Peasant Life",,,66,48.5,,,,,,,,,,,,,,,,,,Naar Pieter Brueghel I via H. Cock,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1347,brueghel_item,brueghel,img/derivatives/simple/18309/thumbnail.jpg,img/derivatives/simple/18309/full.jpg
18310,"The Kermesse of the Feast of St. George (London, Philips, 1990)",,,"The Kermesse of the Feast of St. George (London, Philips, 1990)",Painting,"Urban, Common and Peasant Life",,,50.5,69,,,Panel,,,,,,,,,,,,,,,Studio of Pieter Brueghel the Younger,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1348,brueghel_item,brueghel,img/derivatives/simple/18310/thumbnail.jpg,img/derivatives/simple/18310/full.jpg
18311,Kermis (Moscow),,,Kermis (Moscow),Painting,"Urban, Common and Peasant Life",,,,,,,,,,,,,,,,,,,,,,P. Bruegel,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1349,brueghel_item,brueghel,img/derivatives/simple/18311/thumbnail.jpg,img/derivatives/simple/18311/full.jpg
18312,"The Peasant Dance (london, Christie's, 1978)",,,"The Peasant Dance (london, Christie&apos;s, 1978)",Painting,"Urban, Common and Peasant Life",,,58.4,78.7,,,,,,,,,,,,,,,,,,P. Brueghel the Younger,,,,,Private,,,,Private Collection,,,,,,,,,1350,brueghel_item,brueghel,img/derivatives/simple/18312/thumbnail.jpg,img/derivatives/simple/18312/full.jpg
18313,Entry into Noah's Ark (Utrecht),,,Entry into Noah&apos;s Ark (Utrecht),Painting,Religious,Birds Cattle Deer Horse Insects Lion Monkey Parrot Burghers Old_Testament Paradise,,66,87,,,Panel,,,,,,,,,,,,,,,,,,,,Public,Netherlands,Utrecht,Centraal Museum,"cat. 1952, nr. 1366.",,,,,,,,,1351,brueghel_item,brueghel,img/derivatives/simple/18313/thumbnail.jpg,img/derivatives/simple/18313/full.jpg
18314,Entry into Noah's ark (Dessau),,,Entry into Noah&apos;s ark (Dessau),Painting,Religious,Birds Cattle Deer Horse Insects Lion Monkey Parrot Burghers Old_Testament Paradise,,43,63,,,Panel,,,,,,,,,,,,,,,Jan Brueghel II,,,,,Public,Germany,Dessau,Anhaltische Gemäldegalerie,cat. 1929 no. 266; Inv. Goth. Haus no. 1925.,,"Mus. Cat. Dessau 1929, S. 39, nr. 266; Ertz 1979, S. 246, Anm. 291",,,,,,"{% cite 9004 %} S. 246, Anm. 291",1352,brueghel_item,brueghel,img/derivatives/simple/18314/thumbnail.jpg,img/derivatives/simple/18314/full.jpg
18315,The Ark of Noah (Antwerp),,,The Ark of Noah (Antwerp),Painting,Religious,Birds Horse Parrot Paradise,,28,36,,,,,,,,,,,,,,,,,,,,,,,Public,Belgium,Antwerp,Koninklijk Museum voor Schone Kunsten,"cat. 1948, no. 5019.",,,,,,,,,1353,brueghel_item,brueghel,img/derivatives/simple/18315/thumbnail.jpg,img/derivatives/simple/18315/full.jpg
18316,The Ark of Noah (Baltimore),,,The Ark of Noah (Baltimore),Painting,Religious,Birds Cattle Deer Horse Insects Lion Monkey Parrot Burghers Old_Testament Paradise,,65,94,,,,,,,,,,,,,,,,,,,,,,,Public,United States,"Baltimore, MD",The Walters Art Gallery,"inv. no. 37 1998, as J. Brueghel I",,,,,,,,,1354,brueghel_item,brueghel,img/derivatives/simple/18316/thumbnail.jpg,img/derivatives/simple/18316/full.jpg
18317,"The Ark of Noah (Pau,Pyrénées-Atlantiques)",,,"The Ark of Noah (Pau,Pyrénées-Atlantiques)",Painting,Religious,Birds Cattle Deer Horse Insects Lion Monkey Parrot Burghers Old_Testament Paradise,,,,,,Panel,,,,,,,,,,,,,,,,,,,,Public,France,Pau,Musée des Beaux-Arts de Pau,no. 1401,,,,,,,,,1355,brueghel_item,brueghel,img/derivatives/simple/18317/thumbnail.jpg,img/derivatives/simple/18317/full.jpg
18318,The Ark of Noah (England),,,The Ark of Noah (England),Painting,Religious,Birds Cattle Deer Horse Insects Lion Monkey Parrot Burghers Old_Testament Paradise,,55,87,,,Panel,,,,,,,,,,,,,,,,,,,,Private,,,,"England, Collection of Earl of Verulam",,,,,,,,,1356,brueghel_item,brueghel,img/derivatives/simple/18318/thumbnail.jpg,img/derivatives/simple/18318/full.jpg
18319,The Ark of Noah (Twigworth),,,The Ark of Noah (Twigworth),Painting,Religious,Birds Cattle Deer Horse Insects Lion Monkey Parrot Burghers Old_Testament Paradise,1613?,55.5,88.9,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1357,brueghel_item,brueghel,img/derivatives/simple/18319/thumbnail.jpg,img/derivatives/simple/18319/full.jpg
18320,Entry into Noah's Ark (France),,,Entry into Noah&apos;s Ark (France),Painting,Religious,Birds Cattle Deer Horse Insects Lion Monkey Parrot Burghers Old_Testament Paradise,,69.5,87.2,,,Copper,,,,,,,,,,,,,,,,,,,,Private,,,,France,,,,,,,,,1358,brueghel_item,brueghel,img/derivatives/simple/18320/thumbnail.jpg,img/derivatives/simple/18320/full.jpg
18321,"God makes Adam steward of the flora and fauna (Sotheby's, London)",,,"God makes Adam steward of the flora and fauna (Sotheby&apos;s, London)",Painting,Religious,Birds Cattle Dog Old_Testament Paradise,,69.7,87.5,,,Copper,,"""I. Breughel F.""",bottom left side,,,,,,,,,,,,,,,,,Private,,,,London,,,,,,,,,1359,brueghel_item,brueghel,img/derivatives/simple/18321/thumbnail.jpg,img/derivatives/simple/18321/full.jpg
18322,"Adam and Eve with their family, working as gardeners after the fall (Christie's, Amsterdam)",,,"Adam and Eve with their family, working as gardeners after the fall (Christie&apos;s, Amsterdam)",Painting,Religious,Birds Cattle Old_Testament Paradise,,76.3,96.2,,,Copper,,"""I. Breughel F.""",bottom right,,,Hans III Jordaens (1590–1643),,,,,,,,,Jan Brueghel II,,,,,Private,,,,Private Collection,,"K. Ertz, Jan Brueghel the Younger (1601-1678), 1984, p. 54, p. 294, no. 117, with ill.",,,,,,"{% cite 8067 %} p. 54, p. 294, no. 117, with ill.",1360,brueghel_item,brueghel,img/derivatives/simple/18322/thumbnail.jpg,img/derivatives/simple/18322/full.jpg
18323,"The Fifth Day of Creation: God the Father creates the birds and the fish (Part of a Series) (Christie's, London)",,,"The Fifth Day of Creation: God the Father creates the birds and the fish (Part of a Series) (Christie&apos;s, London)",Painting,Religious,Birds Fish Parrot Putti Old_Testament Paradise,,87,112,,,Copper,,"""I. Breughel f.""",bottom let side,,,,,,,,,,,,,,,,,Private,,,,Private Collection,,,,,,,,,1361,brueghel_item,brueghel,img/derivatives/simple/18323/thumbnail.jpg,img/derivatives/simple/18323/full.jpg
18324,"The Sixth Day of Creation: God the Father appoints Adam as Steward over the paradise (Part of a series) (Christie's, London)",,,"The Sixth Day of Creation: God the Father appoints Adam as Steward over the paradise (Part of a series) (Christie&apos;s, London)",Painting,Religious,Birds Cattle Dog Old_Testament Paradise,,87,112,,,Copper,,"""I. Breughel f.""",bottom center,,,,,,,,,,,,,,,,,Private,,,,Private Collection,,,,,,,,,1362,brueghel_item,brueghel,img/derivatives/simple/18324/thumbnail.jpg,img/derivatives/simple/18324/full.jpg
18325,"The Paradise (Weinmüller, Munich)",,,"The Paradise (Weinmüller, Munich)",Painting,Religious,Birds Cattle Lion Parrot Nude Old_Testament Paradise,,70,84,,,,,,,,,,,,,,,,,,,,,,,Private,,,,Private Collection,,,,,,,,,1363,brueghel_item,brueghel,img/derivatives/simple/18325/thumbnail.jpg,img/derivatives/simple/18325/full.jpg
18326,The Creation of Eve (Budapest),,,The Creation of Eve (Budapest),Painting,Religious,Birds Lion Nude Old_Testament Paradise,,49,63,,,,,,,,,,,,,,,,,,,,,,,Public,Hungary,Budapest,Szépmüvészeti Múzeum,"cat. 1937, no. 547",,,,,,,,,1364,brueghel_item,brueghel,img/derivatives/simple/18326/thumbnail.jpg,img/derivatives/simple/18326/full.jpg
18327,The Paradise (Aschaffenburg),,,The Paradise (Aschaffenburg),Painting,Religious,Birds Cattle Dog Lion Nude Old_Testament Paradise,,31,48,,,Copper,,,,,,,,,,,,,,,,,,,,Public,Germany,Aschaffenburg,Staatsgalerie im Schloss Johannisburg,"on loan from Bayerische Staatsgemäldesammlungen, inv. nr. 6480",,,,,,,,,1365,brueghel_item,brueghel,img/derivatives/simple/18327/thumbnail.jpg,img/derivatives/simple/18327/full.jpg
18328,Various scenes from the Garden of Eden (The Hague),,,Various scenes from the Garden of Eden (The Hague),Painting,Religious,Birds Horse Lion Nude Old_Testament Paradise,,75,58,,,,,,,,,,,,,,,,,,,,,,,Public,Netherlands,The Hague,Mauritshuis,"1932, nos. 132-133",,,,,,,,,1366,brueghel_item,brueghel,img/derivatives/simple/18328/thumbnail.jpg,img/derivatives/simple/18328/full.jpg
18329,"Paradise Landscape with Creation of Adam (Christie's, London)",,,"Paradise Landscape with Creation of Adam (Christie&apos;s, London)",Painting,Religious,Birds Deer Dog Horse Monkey Nude Old_Testament Paradise,,47,81.2,,,Panel,,,,,,,,,,,,,,,,,,,,Private,,,,Private Collection,,,,,,,,,1367,brueghel_item,brueghel,img/derivatives/simple/18329/thumbnail.jpg,img/derivatives/simple/18329/full.jpg
18330,"The Creation of Eve (Drouot, Paris)",,,"The Creation of Eve (Drouot, Paris)",Painting,Religious,Birds Dog Lion Parrot Nude Old_Testament Paradise,,51.5,84,,,Copper,,,,,,Hendrick van Balen (1575-1632),,,,,,,,,,,,,,Private,,,,Private Collection,,,,,,,,,1368,brueghel_item,brueghel,img/derivatives/simple/18330/thumbnail.jpg,img/derivatives/simple/18330/full.jpg
18331,The Earthly Paradise: The Creation of Eve (Besançon),,,The Earthly Paradise: The Creation of Eve (Besançon),Painting,Religious,Birds Dog Lion Monkey Parrot Nude Old_Testament Paradise,,36,47,,,Copper,,,,,,,,,,,,,,,Jan Brueghel II,,,,,Public,France,Besançon,Musée des Beaux-Arts et d'Archeologie de Besançon,"cat. 1886, nr. 51, as Jan Brueghel; cat. 1919, blz. 216, as Jan Brueghel.",,,,,,,,,1369,brueghel_item,brueghel,img/derivatives/simple/18331/thumbnail.jpg,img/derivatives/simple/18331/full.jpg
18332,The Creation of Eve (Konstanz),,,The Creation of Eve (Konstanz),Painting,Religious,Deer Lion Parrot Nude Old_Testament Paradise,,85,115,,,Copper,,,,,,,,,,,,,,,,,,,,Private,,,,"Konstanz, Germany, Gallery of Julius Mulisch (?)",,,,,,,,,1370,brueghel_item,brueghel,img/derivatives/simple/18332/thumbnail.jpg,img/derivatives/simple/18332/full.jpg
18333,The Creation of Eve (Paris),,,The Creation of Eve (Paris),Painting,Religious,Birds Dog Horse Lion Parrot Nude Old_Testament Paradise,,49,78,,,Canvas,,,,,,,,,,,,,,,,,,,,Private,,,,"Paris, Gallery of J. O. Leegenhoek",,,,,,,,,1371,brueghel_item,brueghel,img/derivatives/simple/18333/thumbnail.jpg,img/derivatives/simple/18333/full.jpg
18334,The Creation of Eve (Madrid),,,The Creation of Eve (Madrid),Painting,Religious,Birds Deer Horse Parrot Nude Old_Testament Paradise,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,Madrid,,,,,,,,,1372,brueghel_item,brueghel,img/derivatives/simple/18334/thumbnail.jpg,img/derivatives/simple/18334/full.jpg
18335,The Earthly Paradise (Brussels),,,The Earthly Paradise (Brussels),Painting,Religious,Birds Dog Horse Lion Parrot,,50,82,,,Copper,,,,,,,,,,,,,,,,,,,,Private,,,,"Brussels, Collection of Gaston Duliere",,,,,,,,,1373,brueghel_item,brueghel,img/derivatives/simple/18335/thumbnail.jpg,img/derivatives/simple/18335/full.jpg
18336,The Paradise (Zurich),,,The Paradise (Zurich),Painting,Religious,Birds Cattle Lion Monkey Parrot Nude Old_Testament Paradise,,40,80,,,,,,,,,,,,,,,,,,,,,,,Private,,,,Zurich,,,,,,,,,1374,brueghel_item,brueghel,img/derivatives/simple/18336/thumbnail.jpg,img/derivatives/simple/18336/full.jpg
18337,The Fall of Man (Berlin),,,The Fall of Man (Berlin),Painting,Religious,Birds Cattle Horse Lion Monkey Parrot Nude Old_Testament Paradise,,,,,,,,,,,,Hendrick van Balen (1575-1632),,,,,,,,,,,,,,Private,,,,Berlin,,,,,,,,,1375,brueghel_item,brueghel,img/derivatives/simple/18337/thumbnail.jpg,img/derivatives/simple/18337/full.jpg
18338,The Fall of Man (Brussels),,,The Fall of Man (Brussels),Painting,Religious,Birds Cattle Deer Horse Lion Monkey Parrot Nude Old_Testament Paradise,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,Brussels,,,,,,,,,1376,brueghel_item,brueghel,img/derivatives/simple/18338/thumbnail.jpg,img/derivatives/simple/18338/full.jpg
18339,The Fall of Man (Paris),,,The Fall of Man (Paris),Painting,Religious,Birds Horse Lion Nude Old_Testament Paradise,,55,70,,,Copper,,,,,,,,,,,,,,,,,,,,Private,,,,Paris,,,,,,,,,1377,brueghel_item,brueghel,img/derivatives/simple/18339/thumbnail.jpg,img/derivatives/simple/18339/full.jpg
18340,The Fall of Man (Dortmund),,,The Fall of Man (Dortmund),Painting,Religious,Dog Lion Sheep Old_Testament Paradise,,95,123,,,,,,,,,Hendrick van Balen (1575-1632),,,,,,,,,,,,,,Private,,,,"Dortmund, Germany, Creme Collection",,,,,,,,,1378,brueghel_item,brueghel,img/derivatives/simple/18340/thumbnail.jpg,img/derivatives/simple/18340/full.jpg
18341,Fall of Man (Paris 1937),,,Fall of Man (Paris 1937),Painting,Religious,Deer Horse Lion Old_Testament Paradise,,42,66,,,Panel,,,,,,,,,,,,,,,,,,,,Private,,,,"Paris, Collection Brouchiet",,,,,,,,,1379,brueghel_item,brueghel,img/derivatives/simple/18341/thumbnail.jpg,img/derivatives/simple/18341/full.jpg
18342,"Paradise with the Fall of Man in the Background (Dorotheum, Vienna)",,,"Paradise with the Fall of Man in the Background (Dorotheum, Vienna)",Painting,Religious,Birds Cattle Deer Horse Parrot Old_Testament Paradise,,77,99.5,,,Copper,,,,,,,,,,,,,,,,,,,,Private,,,,Private Collection,,,,,,,,,1380,brueghel_item,brueghel,img/derivatives/simple/18342/thumbnail.jpg,img/derivatives/simple/18342/full.jpg
18343,The Paradise (The Hague),,,The Paradise (The Hague),Painting,Religious,Birds Deer Lion Parrot Old_Testament Paradise,,13.5,19.5,,,Copper,,,,,,,,,,,,,,,Jan Brueghel II,,,,,Public,Netherlands,The Hague,Mauritshuis,1935 cat. inv. nr. 236.,,"Museum Catalog, the Hague, 1971, S. 29 (as &quot;omgeving van Brueghel&quot;).",,,,,,,1381,brueghel_item,brueghel,img/derivatives/simple/18343/thumbnail.jpg,img/derivatives/simple/18343/full.jpg
18344,The Expulsion of Adam and Eve from Paradise (Munich),,,The Expulsion of Adam and Eve from Paradise (Munich),Painting,Religious,Deer Dog Horse Nude Old_Testament Paradise,,69,59,,,,,,,,,,,,,,,,,,,,,,,Private,,,,Private Collection,,,,,,,,,1382,brueghel_item,brueghel,img/derivatives/simple/18344/thumbnail.jpg,img/derivatives/simple/18344/full.jpg
