pid,exclude,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
18202,The Sense of Touch (Munich),,,The Sense of Touch (Munich),Painting,Allegory,Encyclopedic Senses Ruins Nude Putti Landscape Armor,,71,115,,,Panel,,,,,,,,,,,,,,,,,,,,Public,Germany,Munich,Bayerische Staatsgemäldesammlungen,Inv. nr. 4945,,,,,,,,,1249,brueghel_item,brueghel,img/derivatives/simple/18202/thumbnail.jpg,img/derivatives/simple/18202/full.jpg
18203,The Sense of Touch (Vienna),,,The Sense of Touch (Vienna),Print,Allegory,Encyclopedic Senses Ruins Nude Putti Landscape Armor,,66,108,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1250,brueghel_item,brueghel,img/derivatives/simple/18203/thumbnail.jpg,img/derivatives/simple/18203/full.jpg
18204,Allegory of Air and Fire (Sarasota),,,Allegory of Air and Fire (Sarasota),Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Volcano Nude Landscape Armor,,62.2,94,,,,,,,,,,,,,,,,,,,,,,,Public,United States,"Sarasota, FL",John and Mable Ringling Museum,"cat. 1949, nr. 229",,,,,,,,,1251,brueghel_item,brueghel,img/derivatives/simple/18204/thumbnail.jpg,img/derivatives/simple/18204/full.jpg
18205,"Allegory of Fire: Venus in the Forge of Vulcan (Vienna, Dorotheum)",,,"Allegory of Fire: Venus in the Forge of Vulcan (Vienna, Dorotheum)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Nude Landscape Armor,,42,57.5,,,Canvas,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1252,brueghel_item,brueghel,img/derivatives/simple/18205/thumbnail.jpg,img/derivatives/simple/18205/full.jpg
18206,Allegory of Fire: Venus at the Forge of Vulcan (New York),,,Allegory of Fire: Venus at the Forge of Vulcan (New York),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Nude Landscape Armor,,54.6,95.3,,,Canvas,,,,inscribed with numbers at a later date,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,"K. Baetjer, European Paintings in the Metropolitan Museum of Art, 1980, I, p. 20; III, p. 366 // W. Liedtke, Flemish Paintings in the Metropolitan Museum of Art, 1984, I, p. 21; II, pl. 12, as a coppy of Jan Brueghel I",,,,,,,1253,brueghel_item,brueghel,img/derivatives/simple/18206/thumbnail.jpg,img/derivatives/simple/18206/full.jpg
18207,Allegory of Fire: Venus in the Forge of Vulcan (Trafford Park),,,Allegory of Fire: Venus in the Forge of Vulcan (Trafford Park),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Nude Landscape Armor,,46,83,,,Panel,,,,"Sir Humphrey de Trafford, Trafford Park (seal and label on the reverse)",,Hendrick van Balen (1575-1632),,,,,,,,,Jan Brueghel II (ertz),,,,,Unknown/Not Applicable,,,,,,"Garas 1968, S. 192, 252; Ertz 1979, S. 373, Anm. 579",,,,,,"{% cite 8488 %} S. 192, 252, {% cite 9004 %}  S. 373, Anm. 579",1254,brueghel_item,brueghel,img/derivatives/simple/18207/thumbnail.jpg,img/derivatives/simple/18207/full.jpg
18208,"Allegory of Fire: Venus in the Forge of Vulcan (Christie's, Paris)",,,"Allegory of Fire: Venus in the Forge of Vulcan (Christie&apos;s, Paris)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Nude Landscape Armor,,56.6,93.5,,,Panel,,,,mark on the reverse,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1255,brueghel_item,brueghel,img/derivatives/simple/18208/thumbnail.jpg,img/derivatives/simple/18208/full.jpg
18209,"Allegory of Fire: Venus in the Forge of Vulcan (London, Trafalgar Galleries)",,,"Allegory of Fire: Venus in the Forge of Vulcan (London, Trafalgar Galleries)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Nude Landscape Armor,,42,72,,,Panel,,signed by both artists,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1256,brueghel_item,brueghel,img/derivatives/simple/18209/thumbnail.jpg,img/derivatives/simple/18209/full.jpg
18210,"Allegory of Fire: Venus in the Forge of Vulcan (Berlin, Paul Graupe)",,,"Allegory of Fire: Venus in the Forge of Vulcan (Berlin, Paul Graupe)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Nude Landscape Armor,,28,38,,,Copper,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1257,brueghel_item,brueghel,img/derivatives/simple/18210/thumbnail.jpg,img/derivatives/simple/18210/full.jpg
18211,Allegory of Fire: Venus in the Forge of Vulcan (unknown location),,,Allegory of Fire: Venus in the Forge of Vulcan (unknown location),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Nude Landscape Armor,,44,80,,,Copper,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1258,brueghel_item,brueghel,img/derivatives/simple/18211/thumbnail.jpg,img/derivatives/simple/18211/full.jpg
18212,"Allegory of Fire: Venus in the Forge of Vulcan (Paris, Legrain)",,,"Allegory of Fire: Venus in the Forge of Vulcan (Paris, Legrain)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Nude Landscape Armor,,56,72.5,,,"Copper, Panel",,,,,,,,,,,,,,,,,,,,Private,,,,"Paris, France, Simon Legrain, Com. Aug '54",,,,,,,,,1259,brueghel_item,brueghel,img/derivatives/simple/18212/thumbnail.jpg,img/derivatives/simple/18212/full.jpg
18213,"Allegory of Fire: Venus in the Forge of Vulcan (London, Sotheby's, 1983)",,,"Allegory of Fire: Venus in the Forge of Vulcan (London, Sotheby&apos;s, 1983)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Nude Armor,,54,87,,,,,,,,,Hendrick van Balen (1575-1632),,,,,,,,,Jan Brueghel II (ertz),,,,,Private,,,,Private Collection,,"Ertz 1979, Kat. 254, Abb. 450, S. 379 (as Jan Brueghel I)",,,,,,"{% cite 9004 %} Kat. 254, Abb. 450, S. 379 (as Jan Brueghel I)",1260,brueghel_item,brueghel,img/derivatives/simple/18213/thumbnail.jpg,img/derivatives/simple/18213/full.jpg
