"pid","object_id","file_type_category","file_type","file_notes","file_description","original_format","research_date","researchers","equipment_used","file_location","fullwidth","thumbnail","order","collection"
516,"3116","Normal Light Images","Detail",,"Fish Market by a River - Detail 2",,,,,,"img/derivatives/simple/516/fullwidth.jpg","img/derivatives/simple/516/thumbnail.jpg",,"curatorial_files"
517,"3118","Written Documents","Catalog Card","Catalog Card from Museum Plantin-Moretus","Fishermen in the Dunes - Catalog Card from Museum Plantin-Moretus",,,,,,"img/derivatives/simple/517/fullwidth.jpg","img/derivatives/simple/517/thumbnail.jpg",,"curatorial_files"
518,"3118","Written Documents","Catalog Card","Catalog Card from Museum Plantin-Moretus","Fishermen in the Dunes - Catalog Card from Museum Plantin-Moretus",,,,,,"img/derivatives/simple/518/fullwidth.jpg","img/derivatives/simple/518/thumbnail.jpg",,"curatorial_files"
519,"3126","Written Documents","Catalog Card","Catalog Card from Museum Plantin-Moretus","Flower Arrangement - Catalog Card from Museum Plantin-Moretus",,,,,,"img/derivatives/simple/519/fullwidth.jpg","img/derivatives/simple/519/thumbnail.jpg",,"curatorial_files"
520,"3126","Written Documents","Catalog Card","Catalog Card from Museum Plantin-Moretus","Flower Arrangement - Catalog Card from Museum Plantin-Moretus",,,,,,"img/derivatives/simple/520/fullwidth.jpg","img/derivatives/simple/520/thumbnail.jpg",,"curatorial_files"
521,"3130","Normal Light Images","Detail",,"Flower Garland Around the Madonna and Child with Angels - Detail 1",,,,,,"img/derivatives/simple/521/fullwidth.jpg","img/derivatives/simple/521/thumbnail.jpg",,"curatorial_files"
522,"3130","Normal Light Images","Detail",,"Flower Garland Around the Madonna and Child with Angels - Detail 2",,,,,,"img/derivatives/simple/522/fullwidth.jpg","img/derivatives/simple/522/thumbnail.jpg",,"curatorial_files"
523,"3130","Normal Light Images","Detail",,"Flower Garland Around the Madonna and Child with Angels - Detail 4",,,,,,"img/derivatives/simple/523/fullwidth.jpg","img/derivatives/simple/523/thumbnail.jpg",,"curatorial_files"
524,"3130","Normal Light Images","Detail",,"Flower Garland Around the Madonna and Child with Angels - Detail 5",,,,,,"img/derivatives/simple/524/fullwidth.jpg","img/derivatives/simple/524/thumbnail.jpg",,"curatorial_files"
525,"3132","Normal Light Images","Framed Image",,"Flower Garland Around the Virgin and Child (Milan), framed",,,,,,"img/derivatives/simple/525/fullwidth.jpg","img/derivatives/simple/525/thumbnail.jpg",,"curatorial_files"
526,"3139","Normal Light Images","Detail","RKD #92.731","Detail 1",,,,,,"img/derivatives/simple/526/fullwidth.jpg","img/derivatives/simple/526/thumbnail.jpg",,"curatorial_files"
527,"3139","Normal Light Images","Detail","RKD #92.728","Detail 2",,,,,,"img/derivatives/simple/527/fullwidth.jpg","img/derivatives/simple/527/thumbnail.jpg",,"curatorial_files"
528,"3139","Normal Light Images","Detail","RKD #92.726","Detail 3",,,,,,"img/derivatives/simple/528/fullwidth.jpg","img/derivatives/simple/528/thumbnail.jpg",,"curatorial_files"
529,"3139","Normal Light Images","Detail","RKD #92.724","Detail 4",,,,,,"img/derivatives/simple/529/fullwidth.jpg","img/derivatives/simple/529/thumbnail.jpg",,"curatorial_files"
530,"3139","Normal Light Images","Detail","RKD #92.729","Detail 5",,,,,,"img/derivatives/simple/530/fullwidth.jpg","img/derivatives/simple/530/thumbnail.jpg",,"curatorial_files"
531,"3139","Normal Light Images","Detail","RKD #92.730","Detail 6",,,,,,"img/derivatives/simple/531/fullwidth.jpg","img/derivatives/simple/531/thumbnail.jpg",,"curatorial_files"
532,"3139","Normal Light Images","Detail","RKD #92.727","Detail 7",,,,,,"img/derivatives/simple/532/fullwidth.jpg","img/derivatives/simple/532/thumbnail.jpg",,"curatorial_files"
533,"3142","Normal Light Images","Detail",,"Flowers in Earthenware Vase (Vienna) detail",,,,,,"img/derivatives/simple/533/fullwidth.jpg","img/derivatives/simple/533/thumbnail.jpg",,"curatorial_files"
534,"3819","Normal Light Images","Detail",,"Flowers in a Blue Painted Vase - Detail 1",,,,,,"img/derivatives/simple/534/fullwidth.jpg","img/derivatives/simple/534/thumbnail.jpg",,"curatorial_files"
535,"3819","Normal Light Images","Detail",,"Flowers in a Blue Painted Vase - Detail 2",,,,,,"img/derivatives/simple/535/fullwidth.jpg","img/derivatives/simple/535/thumbnail.jpg",,"curatorial_files"
536,"3819","Normal Light Images","Detail",,"Flowers in a Blue Painted Vase - Detail 3",,,,,,"img/derivatives/simple/536/fullwidth.jpg","img/derivatives/simple/536/thumbnail.jpg",,"curatorial_files"
537,"3819","Normal Light Images","Detail",,"Flowers in a Blue Painted Vase - Detail 4",,,,,,"img/derivatives/simple/537/fullwidth.jpg","img/derivatives/simple/537/thumbnail.jpg",,"curatorial_files"
538,"3819","Normal Light Images","Detail",,"Flowers in a Blue Painted Vase - Detail 5",,,,,,"img/derivatives/simple/538/fullwidth.jpg","img/derivatives/simple/538/thumbnail.jpg",,"curatorial_files"
539,"3820","Normal Light Images","Detail","Ertz 2008-10, #421","Detail",,,,,,"img/derivatives/simple/539/fullwidth.jpg","img/derivatives/simple/539/thumbnail.jpg",,"curatorial_files"
540,"3154","Normal Light Images","Detail",,"Detail 1",,,,,,"img/derivatives/simple/540/fullwidth.jpg","img/derivatives/simple/540/thumbnail.jpg",,"curatorial_files"
541,"3160","Normal Light Images","Extra Image","Black and white image","Black and white",,,,,,"img/derivatives/simple/541/fullwidth.jpg","img/derivatives/simple/541/thumbnail.jpg",,"curatorial_files"
542,"3177","Normal Light Images","Detail",,"Detail 1",,,,,,"img/derivatives/simple/542/fullwidth.jpg","img/derivatives/simple/542/thumbnail.jpg",,"curatorial_files"
543,"3177","Normal Light Images","Detail",,"Detail 2",,,,,,"img/derivatives/simple/543/fullwidth.jpg","img/derivatives/simple/543/thumbnail.jpg",,"curatorial_files"
544,"3180","Normal Light Images","Extra Image",,,,,,,,"img/derivatives/simple/544/fullwidth.jpg","img/derivatives/simple/544/thumbnail.jpg",,"curatorial_files"
545,"3186","Normal Light Images","Framed Image",,"Forest Landscape with Angler - Framed",,,,,,"img/derivatives/simple/545/fullwidth.jpg","img/derivatives/simple/545/thumbnail.jpg",,"curatorial_files"
546,"3186","Normal Light Images","Detail",,"Forest Landscape with Angler - Detail 1",,,,,,"img/derivatives/simple/546/fullwidth.jpg","img/derivatives/simple/546/thumbnail.jpg",,"curatorial_files"
547,"3186","Normal Light Images","Detail",,"Forest Landscape with Angler - Detail 2",,,,,,"img/derivatives/simple/547/fullwidth.jpg","img/derivatives/simple/547/thumbnail.jpg",,"curatorial_files"
548,"3186","Normal Light Images","Detail",,"Forest Landscape with Angler - Detail 3",,,,,,"img/derivatives/simple/548/fullwidth.jpg","img/derivatives/simple/548/thumbnail.jpg",,"curatorial_files"
549,"3192","Normal Light Images","Framed Image",,"Framed",,,,,,"img/derivatives/simple/549/fullwidth.jpg","img/derivatives/simple/549/thumbnail.jpg",,"curatorial_files"
550,"3205","Normal Light Images","Related Materials","Forest Landscape with Hunters (Private Collection) depicted in the Allegory of Sight (Prado). The relationship between the two paintings is explored in Wood Ruby 2012.","Forest Landscape with Hunters (Private Collection) depicted in the Allegory of Sight (Prado)",,,,,,"img/derivatives/simple/550/fullwidth.jpg","img/derivatives/simple/550/thumbnail.jpg",,"curatorial_files"
551,"3211","Normal Light Images","Detail",,"Forest Landscape with St. Hubert - Detail 1",,,,,,"img/derivatives/simple/551/fullwidth.jpg","img/derivatives/simple/551/thumbnail.jpg",,"curatorial_files"
552,"3211","Normal Light Images","Detail",,"Forest Landscape with St. Hubert - Detail 2",,,,,,"img/derivatives/simple/552/fullwidth.jpg","img/derivatives/simple/552/thumbnail.jpg",,"curatorial_files"
553,"3211","Normal Light Images","Detail",,"Forest Landscape with St. Hubert - Detail 3",,,,,,"img/derivatives/simple/553/fullwidth.jpg","img/derivatives/simple/553/thumbnail.jpg",,"curatorial_files"
554,"3229","Normal Light Images","Framed Image",,"Forest with Hunting Scene (Framed)",,,,,,"img/derivatives/simple/554/fullwidth.jpg","img/derivatives/simple/554/thumbnail.jpg",,"curatorial_files"
555,"3825","Normal Light Images","Extra Image",,"Fruit Garland with Offering to Ceres - Additional Image",,,,,,"img/derivatives/simple/555/fullwidth.jpg","img/derivatives/simple/555/thumbnail.jpg",,"curatorial_files"
556,"3246","Normal Light Images","Detail",,"Fruit and Flower Garland with the Holy Family in a Landscape (Munich) - Detail 1",,,,,,"img/derivatives/simple/556/fullwidth.jpg","img/derivatives/simple/556/thumbnail.jpg",,"curatorial_files"
557,"3246","Normal Light Images","Detail",,"Fruit and Flower Garland with the Holy Family in a Landscape (Munich) - Detail 2",,,,,,"img/derivatives/simple/557/fullwidth.jpg","img/derivatives/simple/557/thumbnail.jpg",,"curatorial_files"
559,"3260","Normal Light Images","Detail",,"Harbor with Preaching of Christ (London) - Detail 1",,,,,,"img/derivatives/simple/559/fullwidth.jpg","img/derivatives/simple/559/thumbnail.jpg",,"curatorial_files"
560,"3260","Normal Light Images","Detail",,"Harbor with Preaching of Christ (London) - Detail 2",,,,,,"img/derivatives/simple/560/fullwidth.jpg","img/derivatives/simple/560/thumbnail.jpg",,"curatorial_files"
561,"3260","Normal Light Images","Detail",,"Harbor with Preaching of Christ (London) - Detail 3",,,,,,"img/derivatives/simple/561/fullwidth.jpg","img/derivatives/simple/561/thumbnail.jpg",,"curatorial_files"
562,"3260","Normal Light Images","Detail",,"Harbor with Preaching of Christ (London) - Detail 4",,,,,,"img/derivatives/simple/562/fullwidth.jpg","img/derivatives/simple/562/thumbnail.jpg",,"curatorial_files"
563,"3263","Normal Light Images","Framed Image",,"Hell Scene, framed",,,,,,"img/derivatives/simple/563/fullwidth.jpg","img/derivatives/simple/563/thumbnail.jpg",,"curatorial_files"
564,"3266","Normal Light Images","Extra Image",,"Hermit with Vegetable Garden and Distant Landscape - Extra 1",,,,,,"img/derivatives/simple/564/fullwidth.jpg","img/derivatives/simple/564/thumbnail.jpg",,"curatorial_files"
